Master_SKU,Original_Category,Amazon Cat,Remark,Cost,MRP,Uniware,FBA,Sjit,FBF,Launch Date,LOC,Cost into %,Cost after %,Return Charge,GST on Return,Final TP,Required Selling Price,Selected Price Range,Selected Fixed Fee Range,Commission %,Commission Amount,Fixed Closing Fee,FBA Pick Pack,Technology Fee,Full Shipping Fee,WHF % On Shipping,Shipping Fee Charged,Total Charges,Final Value After Charges,Sett Acc Panel,Net Profit On SP,Net Profit % On SP,Net Profit % On TP,Old Daily SP,Old Deal SP
JOPLVSM5160,Dress Material,Apparel - Sarees and Dress Materials,Closed,215.0,1996.0,0.0,0.0,0.0,0.0,24-Feb-24,Surat,23.0,279.22077922077926,59.0,10.62,348.84077922077927,431,300-500,250-500,4.0,17.24,20.0,20.0,13.0,30.0,40.0,12.0,82.24,348.84,348.76,64.13999999999999,14.881670533642687,18.386611835712635,425.0,399.0
JOPLST706-M,Tunics-St,Apparel - Other products,Closed,0.0,930.0,0.0,0.0,0.0,0.0,11-Apr-24,Surat,23.0,0.0,59.0,0.0,0.0,70,0-300,0-250,0.0,0.0,25.0,25.0,12.0,20.0,40.0,8.0,70.0,0.0,0.0,-59.0,-84.28571428571429,-inf,325.0,299.0
JOPLJPR7013-XXL,Cotton Top,Apparel - Other products,Closed,216.0,2330.0,20.0,4.0,0.0,0.0,24-Jan-25,Jaipur,23.0,280.5194805194805,59.0,10.62,350.1394805194805,437,300-500,250-500,5.0,21.85,20.0,20.0,13.0,30.0,40.0,12.0,86.85,350.14,350.15,64.52999999999997,14.766590389016013,18.42979829188664,499.0,475.0
JOPLVL210-XXL,Skd-Jpr,Apparel - Ethnic Wear,Closed,705.0,4665.0,1.0,0.0,0.0,0.0,23-May-24,Jaipur,23.0,915.5844155844158,59.0,10.62,985.2044155844158,1274,>1000,>1000,16.0,203.85,25.0,25.0,15.0,50.0,40.0,20.0,288.85,985.2,985.15,210.52999999999997,16.525117739403452,21.369169348993953,999.0,949.0
JOPLPDP1080,Dress Material,Apparel - Sarees and Dress Materials,Closed,225.0,1663.0,0.0,0.0,0.0,0.0,7-Nov-24,Surat,23.0,292.20779220779224,59.0,10.62,361.82779220779224,445,300-500,250-500,4.0,17.78,20.0,20.0,13.0,30.0,40.0,12.0,82.78,361.83,362.22,67.60000000000002,15.191011235955063,18.682920841298547,425.0,399.0
JOPLJPR842-XXL,Skd-Jpr,Apparel - Ethnic Wear,Slow Moving,765.0,6650.0,24.0,0.0,0.0,0.0,17-Oct-23,Jaipur,23.0,993.5064935064936,59.0,10.62,1063.1264935064935,1367,>1000,>1000,16.0,218.69,25.0,25.0,15.0,50.0,40.0,20.0,303.69,1063.13,1063.31,228.68999999999994,16.72933430870519,21.511080891768135,1577.0,1499.0
JOPLVSRW5218-7XL,Rw Salwar Suit,Apparel - Ethnic Wear,Platinum B,285.0,2663.0,0.0,0.0,0.0,0.0,28-May-25,Surat,23.0,370.1298701298702,59.0,10.62,439.7498701298702,566,500-1000,500-1000,10.0,56.64,20.0,20.0,14.0,40.0,40.0,16.0,126.64,439.75,439.36,84.74000000000001,14.971731448763254,19.270045486306557,625.0,593.75
JOPLJPR729-M,Cotton Top,Apparel - Other products,Closed,305.0,2330.0,0.0,0.0,0.0,0.0,10-Apr-23,Jaipur,23.0,396.1038961038961,59.0,10.62,465.7238961038961,602,500-1000,500-1000,11.0,66.21,20.0,20.0,14.0,40.0,40.0,16.0,136.21,465.72,465.78999999999996,91.16999999999996,15.144518272425241,19.575976402048585,499.0,475.0
JOPLJPR126-L,Kurta-Jpr,Apparel - Ethnic Wear,Closed,295.0,2163.0,0.0,0.0,0.0,0.0,18-Nov-22,Jaipur,23.0,383.1168831168832,59.0,10.62,452.7368831168832,581,500-1000,500-1000,10.0,58.08,20.0,20.0,14.0,40.0,40.0,16.0,128.08,452.74,452.91999999999996,88.29999999999995,15.197934595524949,19.503602046313404,499.0,475.0
JOPLVL244-4XL,Skd-Jpr,Apparel - Ethnic Wear,Slow Moving,681.0,5330.0,0.0,0.0,0.0,0.0,14-Jun-23,Jaipur,23.0,884.4155844155845,59.0,10.62,954.0355844155845,1237,>1000,>1000,16.0,197.91,25.0,25.0,15.0,50.0,40.0,20.0,282.91,954.04,954.0899999999999,203.4699999999999,16.448666127728366,21.327296730199006,1550.0,1472.632
