Master SKU,Style ID / Parent SKU,Size,Category,Loc,Child Remark,Parent Remark,Type
JOPLJPR4038-M,JOPLJPR4038,M,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSMRW4283-6XL,JOPLVSMRW4283,6XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLNS4028B,JOPLNS4028B,Free,Saree,Surat,Closed,Closed,Closed
JOPLVSRW5238-6XL,JOPLVSRW5238,6XL,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLRJN08-L,JOPLRJN08,L,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLST731-XL,JOPLST731,XL,Tunics-St,Surat,Closed,Closed,Closed
JOPLJPR129-S,JOPLJPR129,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLNS4068,JOPLNS4068,Free,Saree,Surat,Closed,Closed,Closed
JOPLJPR138-XL,JOPLJPR138,XL,"Dress 46""",Jaipur,Diamond C,Diamond C,Live
JOPLJPR79-S,JOPLJPR79,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLMD149A,JOPLMD149A,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSRW4096-8XL,JOPLVSRW4096,8XL,Rw Salwar Suit,Surat,Platinum C,Diamond C,Live
